ProductKey,CustomerKey,SalesOrderNumber,SalesAmount,OrderDate,ShipDate
314,27606,SO43711,3578.27,2023-01-01,2023-01-08
311,13513,SO43712,3578.27,2023-01-01,2023-01-08
310,27601,SO43713,3578.27,2023-01-02,2023-01-09
311,13591,SO43714,3578.27,2023-01-02,2023-01-09
314,16483,SO43715,3578.27,2023-01-02,2023-01-09
311,16529,SO43716,3578.27,2023-01-02,2023-01-09
336,25249,SO43717,699.0982,2023-01-02,2023-01-09
311,27668,SO43718,3578.27,2023-01-03,2023-01-10
312,27612,SO43719,3578.27,2023-01-03,2023-01-10
311,13264,SO43720,3578.27,2023-01-03,2023-01-10
310,13590,SO43721,3578.27,2023-01-03,2023-01-10
312,13581,SO43722,3578.27,2023-01-04,2023-01-11
332,14520,SO43723,699.0982,2023-01-04,2023-01-11
311,16520,SO43724,3578.27,2023-01-04,2023-01-11
311,13258,SO43725,3578.27,2023-01-05,2023-01-12
332,14560,SO43726,699.0982,2023-01-05,2023-01-12
311,16607,SO43727,3578.27,2023-01-05,2023-01-12
313,27666,SO43728,3578.27,2023-01-06,2023-01-13
346,11238,SO43729,3399.99,2023-01-06,2023-01-13
346,25861,SO43730,3399.99,2023-01-06,2023-01-13
314,16629,SO43731,3578.27,2023-01-06,2023-01-13
350,11025,SO43732,3374.99,2023-01-06,2023-01-13
312,27577,SO43733,3578.27,2023-01-06,2023-01-13
312,27604,SO43734,3578.27,2023-01-07,2023-01-14
310,16522,SO43735,3578.27,2023-01-07,2023-01-14
346,11002,SO43736,3399.99,2023-01-07,2023-01-14
311,13261,SO43737,3578.27,2023-01-08,2023-01-15
312,11606,SO43738,3578.27,2023-01-08,2023-01-15
310,13563,SO43739,3578.27,2023-01-08,2023-01-15
312,16527,SO43740,3578.27,2023-01-08,2023-01-15
310,27671,SO43741,3578.27,2023-01-09,2023-01-16
314,13576,SO43742,3578.27,2023-01-09,2023-01-16
347,11007,SO43743,3399.99,2023-01-09,2023-01-16
313,16631,SO43744,3578.27,2023-01-09,2023-01-16
311,16514,SO43745,3578.27,2023-01-10,2023-01-17
312,16616,SO43746,3578.27,2023-01-10,2023-01-17
314,27623,SO43747,3578.27,2023-01-11,2023-01-18
313,27625,SO43748,3578.27,2023-01-11,2023-01-18
314,27636,SO43749,3578.27,2023-01-11,2023-01-18
311,11591,SO43750,3578.27,2023-01-11,2023-01-18
313,11592,SO43751,3578.27,2023-01-11,2023-01-18
311,13265,SO43752,3578.27,2023-01-11,2023-01-18
310,16482,SO43753,3578.27,2023-01-11,2023-01-18
312,27617,SO43754,3578.27,2023-01-12,2023-01-19
311,27670,SO43755,3578.27,2023-01-12,2023-01-19
332,19941,SO43756,699.0982,2023-01-12,2023-01-19
350,11017,SO43757,3374.99,2023-01-12,2023-01-19
310,27646,SO43758,3578.27,2023-01-13,2023-01-20
310,13257,SO43759,3578.27,2023-01-13,2023-01-20
314,16352,SO43760,3578.27,2023-01-13,2023-01-20
310,16493,SO43761,3578.27,2023-01-13,2023-01-20
314,27578,SO43762,3578.27,2023-01-14,2023-01-21
313,16525,SO43763,3578.27,2023-01-14,2023-01-21
310,16612,SO43764,3578.27,2023-01-14,2023-01-21
346,11010,SO43765,3399.99,2023-01-14,2023-01-21
313,16518,SO43766,3578.27,2023-01-15,2023-01-22
350,11001,SO43767,3374.99,2023-01-15,2023-01-22
312,27649,SO43768,3578.27,2023-01-16,2023-01-23
312,21659,SO43769,3578.27,2023-01-16,2023-01-23
312,27614,SO43770,3578.27,2023-01-16,2023-01-23
330,14559,SO43771,699.0982,2023-01-16,2023-01-23
312,16524,SO43772,3578.27,2023-01-16,2023-01-23
314,16526,SO43773,3578.27,2023-01-16,2023-01-23
313,16348,SO43774,3578.27,2023-01-16,2023-01-23
347,11027,SO43775,3399.99,2023-01-16,2023-01-23
314,13260,SO43776,3578.27,2023-01-17,2023-01-24
311,16515,SO43777,3578.27,2023-01-17,2023-01-24
345,11018,SO43778,3399.99,2023-01-17,2023-01-24
326,25252,SO43779,699.0982,2023-01-17,2023-01-24
311,11599,SO43780,3578.27,2023-01-18,2023-01-25
312,16495,SO43781,3578.27,2023-01-18,2023-01-25
312,16516,SO43782,3578.27,2023-01-18,2023-01-25
312,16620,SO43783,3578.27,2023-01-18,2023-01-25
310,27667,SO43784,3578.27,2023-01-19,2023-01-26
311,11601,SO43785,3578.27,2023-01-19,2023-01-26
311,11607,SO43786,3578.27,2023-01-19,2023-01-26
344,29385,SO43787,3399.99,2023-01-19,2023-01-26
351,11239,SO43788,3374.99,2023-01-19,2023-01-26
351,25865,SO43789,3374.99,2023-01-19,2023-01-26
344,25857,SO43790,3399.99,2023-01-19,2023-01-26
314,16484,SO43791,3578.27,2023-01-19,2023-01-26
312,16623,SO43792,3578.27,2023-01-19,2023-01-26
344,11000,SO43793,3399.99,2023-01-19,2023-01-26
347,11029,SO43794,3399.99,2023-01-19,2023-01-26
312,27615,SO43795,3578.27,2023-01-20,2023-01-27
342,17956,SO43796,699.0982,2023-01-20,2023-01-27
312,16345,SO43797,3578.27,2023-01-20,2023-01-27
310,16521,SO43798,3578.27,2023-01-20,2023-01-27
312,16636,SO43799,3578.27,2023-01-20,2023-01-27
311,21710,SO43800,3578.27,2023-01-21,2023-01-28
311,13583,SO43801,3578.27,2023-01-21,2023-01-28
312,11593,SO43802,3578.27,2023-01-21,2023-01-28
314,21741,SO43803,3578.27,2023-01-22,2023-01-29
310,13585,SO43804,3578.27,2023-01-22,2023-01-29
328,14510,SO43805,699.0982,2023-01-22,2023-01-29
312,16523,SO43806,3578.27,2023-01-22,2023-01-29
312,11611,SO43807,3578.27,2023-01-23,2023-01-30
313,13259,SO43808,3578.27,2023-01-23,2023-01-30
310,16350,SO43809,3578.27,2023-01-23,2023-01-30
345,11004,SO43810,3399.99,2023-01-23,2023-01-30
346,11026,SO43811,3399.99,2023-01-23,2023-01-30
312,27662,SO43812,3578.27,2023-01-24,2023-01-31
350,28390,SO43813,3374.99,2023-01-24,2023-01-31
350,25866,SO43814,3374.99,2023-01-24,2023-01-31
311,16494,SO43815,3578.27,2023-01-24,2023-01-31
314,16496,SO43816,3578.27,2023-01-24,2023-01-31
310,16519,SO43817,3578.27,2023-01-24,2023-01-31
312,16528,SO43818,3578.27,2023-01-24,2023-01-31
346,11006,SO43819,3399.99,2023-01-24,2023-01-31
312,27651,SO43820,3578.27,2023-01-25,2023-02-01
310,27663,SO43821,3578.27,2023-01-25,2023-02-01
313,27669,SO43822,3578.27,2023-01-25,2023-02-01
342,19942,SO43823,699.0982,2023-01-25,2023-02-01
338,14558,SO43824,699.0982,2023-01-25,2023-02-01
313,16349,SO43825,3578.27,2023-01-25,2023-02-01
348,11008,SO43826,3374.99,2023-01-25,2023-02-01
338,25250,SO43827,699.0982,2023-01-25,2023-02-01
310,27605,SO43828,3578.27,2023-01-26,2023-02-02
310,27611,SO43829,3578.27,2023-01-26,2023-02-02
311,16347,SO43830,3578.27,2023-01-26,2023-02-02
349,11028,SO43831,3374.99,2023-01-26,2023-02-02
310,13584,SO43832,3578.27,2023-01-26,2023-02-02
310,21727,SO43833,3578.27,2023-01-27,2023-02-03
348,28393,SO43834,3374.99,2023-01-27,2023-02-03
348,19802,SO43835,3374.99,2023-01-27,2023-02-03
324,26620,SO43836,699.0982,2023-01-27,2023-02-03
350,11009,SO43837,3374.99,2023-01-27,2023-02-03
313,27641,SO43838,3578.27,2023-01-28,2023-02-04
311,27673,SO43839,3578.27,2023-01-28,2023-02-04
326,17957,SO43840,699.0982,2023-01-28,2023-02-04
314,13406,SO43841,3578.27,2023-01-28,2023-02-04
312,16630,SO43842,3578.27,2023-01-28,2023-02-04
313,22041,SO43918,3578.27,2023-01-29,2023-02-05
314,12124,SO43919,3578.27,2023-01-29,2023-02-05
313,28066,SO43920,3578.27,2023-01-29,2023-02-05
313,16743,SO43921,3578.27,2023-01-29,2023-02-05
310,13546,SO43922,3578.27,2023-01-29,2023-02-05
312,28018,SO43923,3578.27,2023-01-30,2023-02-06
310,12132,SO43924,3578.27,2023-01-30,2023-02-06
314,16661,SO43925,3578.27,2023-01-30,2023-02-06
351,11055,SO43926,3374.99,2023-01-31,2023-02-07
314,16662,SO43927,3578.27,2023-01-31,2023-02-07
313,16740,SO43928,3578.27,2023-01-31,2023-02-07
322,25270,SO43929,699.0982,2023-01-31,2023-02-07
312,28038,SO43930,3578.27,2023-02-01,2023-02-08
313,13548,SO43931,3578.27,2023-02-01,2023-02-08
314,16741,SO43932,3578.27,2023-02-01,2023-02-08
347,11031,SO43933,3399.99,2023-02-01,2023-02-08
346,11034,SO43934,3399.99,2023-02-01,2023-02-08
334,20048,SO43935,699.0982,2023-02-02,2023-02-09
311,28065,SO43936,3578.27,2023-02-02,2023-02-09
312,17047,SO43937,3578.27,2023-02-02,2023-02-09
310,16686,SO43938,3578.27,2023-02-02,2023-02-09
312,16659,SO43939,3578.27,2023-02-02,2023-02-09
336,25294,SO43940,699.0982,2023-02-02,2023-02-09
314,13600,SO43941,3578.27,2023-02-03,2023-02-10
310,17051,SO43942,3578.27,2023-02-03,2023-02-10
338,14565,SO43943,699.0982,2023-02-03,2023-02-10
344,11054,SO43944,3399.99,2023-02-03,2023-02-10
310,16675,SO43945,3578.27,2023-02-03,2023-02-10
313,16687,SO43946,3578.27,2023-02-03,2023-02-10
310,16712,SO43947,3578.27,2023-02-03,2023-02-10
345,11047,SO43948,3399.99,2023-02-03,2023-02-10
310,27726,SO43949,3578.27,2023-02-04,2023-02-11
311,28014,SO43950,3578.27,2023-02-04,2023-02-11
311,16696,SO43951,3578.27,2023-02-04,2023-02-11
312,16639,SO43952,3578.27,2023-02-04,2023-02-11
342,20049,SO43953,699.0982,2023-02-05,2023-02-12
311,13602,SO43954,3578.27,2023-02-05,2023-02-12
314,13661,SO43955,3578.27,2023-02-05,2023-02-12
344,11030,SO43956,3399.99,2023-02-05,2023-02-12
313,28068,SO43957,3578.27,2023-02-06,2023-02-13
312,16658,SO43958,3578.27,2023-02-06,2023-02-13
348,11035,SO43959,3374.99,2023-02-06,2023-02-13
349,11046,SO43960,3374.99,2023-02-06,2023-02-13
311,28031,SO43961,3578.27,2023-02-07,2023-02-14
312,28076,SO43962,3578.27,2023-02-07,2023-02-14
314,16685,SO43963,3578.27,2023-02-07,2023-02-14
312,16745,SO43964,3578.27,2023-02-07,2023-02-14
351,11038,SO43965,3374.99,2023-02-07,2023-02-14
